Γ	Ploidy	rpol-rate	rpol-initiationdist	L1	LG	G	Iterations	Simulation_Transcriptome_Diversity	Analyt_Solution
1	1	1	0.25	1	10	10	2500000	2	2
2	1	1	0.25	1	10	10	2500000	12	12
3	1	1	0.25	1	10	10	2500000	120	120
4	1	1	0.25	1	10	10	2500000	1680	1680
5	1	1	0.25	1	10	10	2500000	30240	30240
6	1	1	0.25	1	10	10	2500000	664922	665280
7	1	1	0.25	1	10	10	4500000	7014596	17297280
8	1	1	0.25	1	10	10	4500000	8922304	518918400
9	1	1	0.25	1	10	10	4500000	8997862	17643225600
10	1	1	0.25	1	10	10	4500000	8999960	670442572800
