Γ	Ploidy	rpol-rate	rpol-initiationdist	L1	LG	G	Iterations	Simulation_Transcriptome_Diversity	Analyt_Solution
1	1	1	0.25	0.1	1	10	634272	427870	456192
2	1	1	0.25	0.1	1	10	2500000	4995820	3129477120
3	1	1	0.25	0.1	1	10	2500000	4999962	338778316800
4	1	1	0.25	0.1	1	10	2500000	4999994	7798494412800
5	1	1	0.25	0.1	1	10	2500000	5000000	74202365952000
6	1	1	0.25	0.1	1	10	2199296	4398592	540369642700800
7	1	1	0.25	0.1	1	10	2500000	5000000	2495450301087744
8	1	1	0.25	0.1	1	10	2500000	5000000	10427939829964800
9	1	1	0.25	0.1	1	10	2500000	5000000	35145672374292480
10	1	1	0.25	0.1	1	10	2500000	5000000	100374020474112000
